2025-11-12, 14:50:21, 22.98 °C
2025-11-12, 14:50:23, 25.58 °C
2025-11-12, 14:50:25, 32.86 °C
2025-11-12, 14:50:27, 33.57 °C
2025-11-12, 14:50:29, 21.1 °C
2025-11-12, 14:50:31, 31.21 °C
2025-11-12, 14:50:33, 32.76 °C
2025-11-12, 14:50:35, 23.86 °C
2025-11-12, 14:50:37, 33.35 °C
2025-11-12, 14:50:39, 30.09 °C
2025-11-12, 14:50:41, 31.9 °C
2025-11-12, 14:50:43, 22.94 °C
2025-11-12, 14:50:45, 26.64 °C
2025-11-12, 14:50:47, 33.66 °C
2025-11-12, 14:50:49, 31.73 °C
2025-11-12, 14:50:51, 28.81 °C
2025-11-12, 14:50:53, 24.83 °C
2025-11-12, 14:50:55, 30.73 °C
2025-11-12, 14:50:57, 31.65 °C
2025-11-12, 14:50:59, 32.62 °C
2025-11-12, 14:51:01, 32.33 °C
2025-11-12, 14:51:26, 23.84 °C
2025-11-12, 14:51:28, 22.24 °C
2025-11-12, 14:51:30, 21.01 °C
2025-11-12, 14:51:32, 33.56 °C
2025-11-12, 14:51:34, 34.45 °C
2025-11-12, 14:51:36, 32.68 °C
2025-11-12, 14:51:38, 30.79 °C
2025-11-12, 14:51:40, 33.12 °C
2025-11-12, 14:51:42, 25.07 °C
2025-11-12, 14:51:44, 25.07 °C
2025-11-12, 14:51:46, 29.38 °C
2025-11-12, 14:51:48, 27.68 °C
2025-11-12, 14:51:50, 32.96 °C
2025-11-12, 14:54:35, 31.69 °C
2025-11-12, 14:54:37, 29.5 °C
2025-11-12, 14:54:39, 29.49 °C
2025-11-12, 14:54:41, 25.58 °C
2025-11-12, 14:54:43, 29.47 °C
2025-11-12, 14:54:45, 31.68 °C
2025-11-12, 14:54:47, 33.69 °C
2025-11-12, 14:54:49, 30.5 °C
2025-11-12, 14:54:51, 34.1 °C
2025-11-12, 14:54:53, 20.7 °C
2025-11-12, 14:54:55, 33.52 °C
2025-11-12, 14:54:57, 20.92 °C
2025-11-12, 14:54:59, 22.86 °C
2025-11-12, 14:55:01, 30.41 °C
2025-11-12, 14:55:03, 32.03 °C
2025-11-12, 14:55:05, 32.07 °C
2025-11-12, 14:55:07, 33.96 °C
2025-11-12, 14:55:09, 20.01 °C
2025-11-12, 14:55:11, 31.94 °C
2025-11-12, 14:55:13, 31.54 °C
2025-11-12, 14:55:15, 22.93 °C
2025-11-12, 14:55:17, 27.57 °C
2025-11-12, 14:55:19, 28.12 °C
2025-11-12, 14:55:21, 33.31 °C
2025-11-12, 14:55:23, 30.28 °C
2025-11-12, 14:55:25, 20.97 °C
2025-11-12, 14:55:27, 22.92 °C
2025-11-12, 14:55:29, 30.93 °C
2025-11-12, 14:55:31, 34.16 °C
2025-11-12, 14:55:33, 30.86 °C
2025-11-12, 14:55:35, 25.1 °C
2025-11-12, 14:55:37, 30.75 °C
2025-11-12, 14:55:39, 29.04 °C
2025-11-12, 14:55:41, 32.61 °C
2025-11-12, 14:55:43, 24.42 °C
2025-11-12, 14:55:45, 33.71 °C
2025-11-12, 14:55:47, 29.08 °C
2025-11-12, 14:55:49, 25.16 °C
2025-11-12, 14:55:51, 30.81 °C
2025-11-12, 14:55:53, 34.68 °C
2025-11-12, 14:55:55, 26.62 °C
2025-11-12, 14:55:57, 24.94 °C
2025-11-12, 14:55:59, 31.07 °C
2025-11-12, 14:56:01, 29.16 °C
2025-11-12, 14:56:03, 20.04 °C
2025-11-12, 14:56:05, 22.1 °C
2025-11-12, 14:56:07, 29.33 °C
2025-11-12, 14:56:09, 24.41 °C
2025-11-12, 14:56:11, 22.58 °C
2025-11-12, 14:56:13, 28.62 °C
2025-11-12, 14:56:15, 32.2 °C
2025-11-12, 14:56:17, 30.54 °C
2025-11-12, 14:56:19, 32.6 °C
2025-11-12, 14:56:21, 24.66 °C
2025-11-12, 14:56:23, 31.16 °C
2025-11-12, 14:56:25, 28.28 °C
2025-11-12, 14:56:27, 23.27 °C
2025-11-12, 14:56:29, 23.38 °C
2025-11-12, 14:56:31, 23.38 °C
2025-11-12, 14:56:33, 28.04 °C
2025-11-12, 14:56:35, 30.15 °C
2025-11-12, 14:56:37, 28.82 °C
2025-11-12, 14:56:39, 32.39 °C
2025-11-12, 14:56:41, 21.29 °C
2025-11-12, 14:56:43, 30.05 °C
2025-11-12, 14:56:45, 20.32 °C
2025-11-12, 14:56:47, 26.2 °C
2025-11-12, 14:56:49, 21.71 °C
2025-11-12, 14:56:51, 22.7 °C
2025-11-12, 14:56:53, 23.01 °C
2025-11-12, 14:56:55, 33.06 °C
2025-11-12, 14:56:57, 22.18 °C
2025-11-12, 14:56:59, 34.65 °C
2025-11-12, 14:57:01, 31.03 °C
2025-11-12, 14:57:03, 23.1 °C
2025-11-12, 14:57:05, 20.76 °C
2025-11-12, 14:57:07, 26.36 °C
2025-11-12, 14:57:09, 32.72 °C
2025-11-12, 14:57:11, 24.69 °C
2025-11-12, 14:57:13, 32.21 °C
2025-11-12, 14:57:15, 28.07 °C
2025-11-12, 14:57:17, 21.6 °C
2025-11-12, 14:57:19, 31.49 °C
2025-11-12, 14:57:21, 20.27 °C
2025-11-12, 14:57:23, 30.28 °C
2025-11-12, 14:57:25, 20.96 °C
2025-11-12, 14:57:27, 34.4 °C
2025-11-12, 14:57:29, 31.02 °C
2025-11-12, 14:57:31, 24.99 °C
2025-11-12, 14:57:33, 33.26 °C
2025-11-12, 14:57:35, 24.37 °C
2025-11-12, 14:57:37, 24.85 °C
2025-11-12, 14:57:39, 21.39 °C
2025-11-12, 14:57:41, 29.38 °C
2025-11-12, 14:57:43, 27.57 °C
2025-11-12, 14:57:45, 23.51 °C
2025-11-12, 14:57:47, 32.01 °C
2025-11-12, 14:57:49, 34.44 °C
2025-11-12, 14:57:51, 25.71 °C
2025-11-12, 14:57:53, 28.57 °C
2025-11-12, 14:57:55, 29.02 °C
2025-11-12, 14:57:57, 25.25 °C
2025-11-12, 14:57:59, 20.61 °C
2025-11-12, 14:58:01, 29.5 °C
2025-11-12, 14:58:03, 20.21 °C
2025-11-12, 14:58:05, 28.61 °C
2025-11-12, 14:58:07, 34.62 °C
2025-11-12, 14:58:09, 28.92 °C
2025-11-12, 14:58:11, 32.68 °C
2025-11-12, 14:58:13, 30.28 °C
2025-11-12, 14:58:15, 21.57 °C
2025-11-12, 14:58:17, 29.63 °C
2025-11-12, 14:58:19, 23.4 °C
2025-11-12, 14:58:21, 33.72 °C
2025-11-12, 14:58:23, 27.69 °C
2025-11-12, 14:58:25, 21.2 °C
2025-11-12, 14:58:27, 30.04 °C
2025-11-12, 14:58:29, 32.17 °C
2025-11-12, 14:58:31, 23.01 °C
2025-11-12, 14:58:33, 33.88 °C
2025-11-12, 14:58:35, 30.26 °C
2025-11-12, 14:58:37, 29.64 °C
2025-11-12, 14:58:39, 29.14 °C
2025-11-12, 14:58:41, 31.6 °C
2025-11-12, 14:58:43, 28.16 °C
2025-11-12, 14:58:45, 31.6 °C
2025-11-12, 14:58:47, 33.56 °C
2025-11-12, 14:58:49, 25.11 °C
2025-11-12, 14:58:51, 26.8 °C
2025-11-12, 14:58:53, 31.22 °C
2025-11-12, 14:58:55, 22.28 °C
2025-11-12, 14:58:57, 29.65 °C
2025-11-12, 14:58:59, 23.7 °C
2025-11-12, 14:59:01, 20.61 °C
2025-11-12, 14:59:03, 21.61 °C
2025-11-12, 14:59:05, 26.79 °C
2025-11-12, 14:59:07, 22.38 °C
2025-11-12, 14:59:09, 24.47 °C
2025-11-12, 14:59:11, 22.01 °C
2025-11-12, 14:59:13, 31.42 °C
2025-11-12, 14:59:15, 29.03 °C
2025-11-12, 14:59:17, 28.35 °C
2025-11-12, 14:59:19, 23.3 °C
2025-11-12, 14:59:21, 24.54 °C
2025-11-12, 14:59:23, 23.08 °C
2025-11-12, 14:59:25, 25.32 °C
2025-11-12, 14:59:27, 25.82 °C
2025-11-12, 14:59:29, 31.4 °C
2025-11-12, 14:59:31, 20.94 °C
2025-11-12, 14:59:33, 29.75 °C
2025-11-12, 14:59:35, 28.53 °C
2025-11-12, 14:59:37, 24.56 °C
2025-11-12, 14:59:39, 33.42 °C
2025-11-12, 14:59:41, 32.43 °C
2025-11-12, 14:59:43, 31.66 °C
2025-11-12, 14:59:45, 25.25 °C
2025-11-12, 14:59:47, 23.83 °C
2025-11-12, 14:59:49, 25.91 °C
2025-11-12, 14:59:51, 25.02 °C
2025-11-12, 14:59:53, 34.31 °C
2025-11-12, 14:59:55, 25.78 °C
2025-11-12, 14:59:57, 27.99 °C
2025-11-12, 14:59:59, 23.23 °C
2025-11-12, 15:00:01, 20.32 °C
2025-11-12, 15:00:03, 29.37 °C
2025-11-12, 15:00:05, 24.53 °C
2025-11-12, 15:02:32, 29.46 °C
2025-11-12, 15:02:34, 20.58 °C
2025-11-12, 15:02:36, 23.51 °C
2025-11-12, 15:02:38, 29.71 °C
2025-11-12, 15:02:40, 22.27 °C
2025-11-12, 15:02:42, 31.8 °C
2025-11-12, 15:02:44, 33.62 °C
2025-11-12, 15:03:59, 30.94 °C
2025-11-12, 15:04:01, 24.53 °C
2025-11-12, 15:04:03, 34.7 °C
2025-11-12, 15:04:05, 25.63 °C
2025-11-12, 15:04:07, 23.4 °C
2025-11-12, 15:04:09, 31.11 °C
2025-11-12, 15:04:11, 26.51 °C
2025-11-12, 15:04:13, 22.51 °C
2025-11-12, 15:04:15, 25.25 °C
2025-11-12, 15:04:17, 20.17 °C
2025-11-12, 15:04:19, 27.46 °C
2025-11-12, 15:04:21, 30.53 °C
2025-11-12, 15:04:23, 31.63 °C
2025-11-12, 15:04:25, 32.04 °C
2025-11-12, 15:04:27, 22.59 °C
2025-11-12, 15:04:29, 22.92 °C
2025-11-12, 15:04:31, 27.58 °C
2025-11-12, 15:04:33, 33.04 °C
2025-11-12, 15:04:35, 20.01 °C
2025-11-12, 15:04:37, 25.77 °C
2025-11-12, 15:04:39, 29.47 °C
2025-11-12, 15:04:41, 20.5 °C
2025-11-12, 15:04:43, 25.73 °C
2025-11-12, 15:04:45, 27.08 °C
2025-11-12, 15:04:47, 34.69 °C
2025-11-12, 15:04:49, 23.45 °C
2025-11-12, 15:04:51, 26.5 °C
2025-11-12, 15:04:53, 27.35 °C
2025-11-12, 15:04:55, 31.97 °C
2025-11-12, 15:04:57, 26.09 °C
2025-11-12, 15:04:59, 22.53 °C
2025-11-12, 15:05:01, 28.87 °C
2025-11-12, 15:05:03, 20.21 °C
2025-11-12, 15:05:05, 28.33 °C
2025-11-12, 15:05:07, 31.55 °C
2025-11-12, 15:05:09, 25.11 °C
2025-11-12, 15:05:11, 30.3 °C
2025-11-12, 15:05:13, 33.76 °C
2025-11-12, 15:05:15, 20.41 °C
