1,7/20/2025,60,2133,₹ 600.00,1,395,Bangalore,Cosmetics,UPI

2,8/25/2025,68,1907,₹ 680.00,2,396,Noida,Food,UPI

3,8/10/2025,10,2977,₹ 100.00,3,105,Bangalore,Accessories,Cash

4,8/8/2025,26,232,₹ 260.00,4,232,Pune,Cosmetics,Credit Card

5,4/14/2025,5,3834,₹ 50.00,5,56,Kochi,Electronics,UPI

6,7/30/2025,69,1576,₹ 690.00,6,171,Noida,Food,EMI

7,5/21/2025,77,1268,₹ 770.00,7,183,Chennai,Accessories,Cash

8,3/14/2025,7,1881,₹ 70.00,8,55,Kochi,Food,Credit Card

9,8/24/2025,26,1697,₹ 260.00,9,256,Noida,Food,Cash

10,2/10/2025,3,3363,₹ 30.00,10,309,Chennai,Home Decor,EMI

11,6/27/2025,67,1025,₹ 670.00,11,337,Pune,Home Decor,UPI

12,5/15/2025,85,1805,₹ 850.00,12,180,Kochi,Electronics,Credit Card

13,9/1/2025,80,1237,₹ 800.00,13,329,Noida,Home Decor,Credit Card

14,8/14/2025,43,1792,₹ 430.00,14,346,Bangalore,Electronics,UPI

15,9/25/2025,52,3725,₹ 520.00,15,210,Kochi,Electronics,Cash

16,5/9/2025,47,2123,₹ 470.00,16,239,Kochi,Home Decor,Debit Card

17,5/28/2025,10,4000,₹ 100.00,17,202,Noida,Cosmetics,Debit Card

18,9/5/2025,88,3420,₹ 880.00,18,221,Pune,Cosmetics,Debit Card

19,3/14/2025,80,3109,₹ 800.00,19,35,Kochi,Food,Credit Card

20,3/13/2025,95,2973,₹ 950.00,20,305,Pune,Food,Debit Card

21,4/8/2025,48,2201,₹ 480.00,21,462,Bangalore,Cosmetics,Debit Card

22,5/15/2025,25,2696,₹ 250.00,22,391,Bangalore,Electronics,UPI

23,1/1/2025,47,4641,₹ 470.00,23,200,Chennai,Cosmetics,Credit Card

24,1/14/2025,99,174,₹ 990.00,24,131,Chennai,Accessories,UPI

25,5/18/2025,24,4610,₹ 240.00,25,165,Pune,Electronics,Debit Card

26,6/30/2025,57,1129,₹ 570.00,26,162,Bangalore,Food,Cash

27,1/23/2025,81,1127,₹ 810.00,27,472,Kochi,Cosmetics,UPI

28,4/20/2025,66,1031,₹ 660.00,28,144,Noida,Home Decor,Credit Card

29,5/10/2025,81,2074,₹ 810.00,29,402,Pune,Food,Debit Card

30,1/22/2025,37,3878,₹ 370.00,30,313,Bangalore,Food,EMI

31,3/8/2025,96,3548,₹ 960.00,31,439,Pune,Accessories,UPI

32,1/12/2025,13,627,₹ 130.00,32,239,Bangalore,Home Decor,Debit Card

33,9/17/2025,76,637,₹ 760.00,33,311,Pune,Electronics,Debit Card

34,8/22/2025,12,2530,₹ 120.00,34,157,Noida,Food,Credit Card

35,4/15/2025,50,3070,₹ 500.00,35,224,Pune,Electronics,EMI

36,2/22/2025,75,4690,₹ 750.00,36,475,Chennai,Accessories,EMI

37,6/18/2025,11,2020,₹ 110.00,37,115,Pune,Food,UPI

38,4/10/2025,24,1396,₹ 240.00,38,409,Kochi,Accessories,UPI

39,7/4/2025,99,1809,₹ 990.00,39,90,Kochi,Cosmetics,UPI

40,7/15/2025,34,4870,₹ 340.00,40,28,Noida,Electronics,Cash

41,1/4/2025,2,3960,₹ 20.00,41,145,Bangalore,Home Decor,EMI

42,4/27/2025,96,4927,₹ 960.00,42,452,Chennai,Electronics,EMI

43,2/19/2025,37,1786,₹ 370.00,43,387,Noida,Home Decor,Cash

44,6/7/2025,6,4931,₹ 60.00,44,10,Bangalore,Accessories,Cash

45,5/24/2025,4,4522,₹ 40.00,45,280,Bangalore,Cosmetics,UPI

46,5/21/2025,68,4649,₹ 680.00,46,479,Kochi,Food,Cash

47,8/12/2025,36,4597,₹ 360.00,47,46,Bangalore,Accessories,Debit Card

48,6/5/2025,40,2566,₹ 400.00,48,53,Bangalore,Electronics,Cash

49,10/21/2025,66,4755,₹ 660.00,49,55,Kochi,Home Decor,UPI

50,10/17/2025,14,1876,₹ 140.00,50,39,Noida,Home Decor,Debit Card

51,3/31/2025,44,816,₹ 440.00,51,429,Pune,Cosmetics,UPI

52,6/13/2025,60,4071,₹ 600.00,52,313,Kochi,Food,Cash

53,3/17/2025,97,1350,₹ 970.00,53,10,Pune,Cosmetics,UPI

54,5/10/2025,13,66,₹ 130.00,54,107,Noida,Cosmetics,Debit Card

55,2/19/2025,97,83,₹ 970.00,55,305,Pune,Cosmetics,Cash

56,3/2/2025,17,708,₹ 170.00,56,380,Kochi,Cosmetics,Credit Card

57,6/22/2025,24,628,₹ 240.00,57,336,Chennai,Home Decor,UPI

58,8/9/2025,87,3771,₹ 870.00,58,267,Kochi,Electronics,Debit Card

59,1/16/2025,50,3434,₹ 500.00,59,500,Noida,Accessories,Credit Card

60,10/12/2025,45,4241,₹ 450.00,60,190,Kochi,Home Decor,Debit Card

61,4/19/2025,50,529,₹ 500.00,61,168,Pune,Food,Debit Card

62,5/31/2025,2,2032,₹ 20.00,62,34,Pune,Home Decor,Debit Card

63,1/27/2025,6,2654,₹ 60.00,63,289,Chennai,Cosmetics,Debit Card

64,4/11/2025,30,377,₹ 300.00,64,373,Bangalore,Home Decor,EMI

65,5/14/2025,44,1142,₹ 440.00,65,298,Bangalore,Electronics,Debit Card

66,5/22/2025,17,4504,₹ 170.00,66,298,Pune,Food,Credit Card

67,2/28/2025,71,1217,₹ 710.00,67,207,Pune,Cosmetics,UPI

68,9/11/2025,91,4284,₹ 910.00,68,78,Pune,Accessories,UPI

69,6/22/2025,76,1971,₹ 760.00,69,189,Pune,Accessories,UPI

70,3/23/2025,5,2131,₹ 50.00,70,454,Noida,Electronics,Debit Card

71,9/25/2025,71,4996,₹ 710.00,71,215,Chennai,Home Decor,EMI

72,3/18/2025,37,2332,₹ 370.00,72,411,Bangalore,Cosmetics,UPI

73,4/28/2025,54,3964,₹ 540.00,73,476,Noida,Home Decor,Cash

74,11/10/2025,32,864,₹ 320.00,74,105,Chennai,Electronics,EMI

75,9/25/2025,47,4304,₹ 470.00,75,420,Pune,Food,Debit Card

76,3/10/2025,70,553,₹ 700.00,76,338,Kochi,Accessories,Credit Card

77,3/1/2025,43,3071,₹ 430.00,77,412,Kochi,Food,Credit Card

78,4/25/2025,55,3538,₹ 550.00,78,22,Chennai,Home Decor,Debit Card

